st coed qnt ed
13589215247 BFM001 60 13589215402
13589215402 CFU001 30 13589215443
13589215443 CFU002 30 13589215525
13589215525 UFU003 30 13589215607
13589215607 UFU004 30 13589215649
13589215649 BFU001 30 13589215732
13589215732 WFU005 30 13589215816
13589215816 WFU006 30 13589215900
13589215900 BFU002 30 13589215945
13589215945 NFC001 30 13589220029
13589220029 NFC002 30 13589220112
13589220112 LFC005 30 13589220152
13589220152 LFC006 30 13589220232
13589220232 LFM003 30 13589220314
13589220314 LFM004 30 13589220356
13589220356 LFU003 30 13589220439
13589220439 LFU004 30 13589220522
13589220522 LFM007 30 13589220605
13589220605 LFM008 30 13589220649
13589220649 LFM001 30 13589220735
13589220735 LFM009 20 13589220852
13589220852 LFM005 60 13589221005
13589221005 AFM001 60 13589221115
13590095840 NFT001 30 13590095954
13590095954 YFU002 30 13590100140
13590100140 UFU005 15 13590100253
13590100253 UFU006 15 13590100407
13590100407 YFU001 04 13590100519
13590100519 WFU007 30 13590100604
13590100604 WFU008 30 13590100649
13590111534 NRC001 08 13590111615
13590111615 NRC002 08 13590111657
13590111657 NFC001 20 13590111730
13590111730 NFC002 20 13590111802
13590111802 NFC003 20 13590111832
13590111832 NFC004 20 13590111902
13590111902 NFC005 20 13590111932
13590111932 NFC006 20 13590112002
13590112002 CFC001 30 13590112042
13590143948 LCU004 15 13590144103
13590144109 LCU004 15 13590144216
13590144223 LCU004 15 13590144330
13590144336 LFU013 30 13590144426
13590144426 LFU014 30 13590144516
13590144516 LFU003 30 13590144559
13590144559 LFU004 30 13590144642
13590145420 CAU002 10 13590145544
13590145555 CAU002 10 13590145703
13590145714 CAU002 05 13590145752
13590145803 CFU001 30 13590145846
13590145846 CFU002 30 13590145928
13590162137 NMF001 12 13590162454
13590162505 BHU002 10 13590162620
13590162631 BMF001 12 13590162848
13590162848 NMF001 08 13590163057
13591104405 NFT001 30 13591104520
13591104520 YFU002 30 13591104706
13591104706 UFU005 15 13591104820
13591104820 UFU006 15 13591104935
13591104935 YFU001 04 13591105048
13591105048 WFU007 30 13591105134
13591105134 WFU008 30 13591105219
13591105219 BHU002 30 13591105535
13591105535 BFU002 30 13591105622
13592153252 NMF001 12 13592153609
13592153620 BHU002 10 13592153735
13592153746 BMF001 12 13592154003
13592154003 NMF001 08 13592154212
13594104355 NFT001 30 13594104510
13594104510 YFU002 30 13594104657
13594104657 UFU005 15 13594104812
13594104812 UFU006 15 13594104926
13594104926 YFU001 04 13594105040
13594105040 WFU007 30 13594105126
13594105126 WFU008 30 13594105211
13594105211 BHU002 10 13594105327
13594105327 BFU002 30 13594105413
13594105537 LCU007 20 13594105713
13594105729 LCU007 20 13594105857
13594105913 LCU007 20 13594110040
13594110040 LFU003 30 13594110124
13594110124 LFU004 30 13594110207
13594144843 LCU004 15 13594144958
13594145004 LCU004 15 13594145112
13594145118 LCU004 15 13594145226
13594145226 LFU013 30 13594145317
13594145317 LFU014 30 13594145408
13594145414 LFU003 30 13594145457
13594145457 LFU004 30 13594145540
13597092548 NFT001 30 13597092703
13597092703 YFU002 30 13597092849
13597092849 UFU005 15 13597093003
13597093003 UFU006 15 13597093118
13597093118 YFU001 04 13597093231
13597093231 WFU007 30 13597093317
13597093317 WFU008 30 13597093402
13597093402 BHU002 10 13597093518
13597093518 BFU002 30 13597093604
13598101058 NFT001 30 13598101213
13598101213 YFU002 30 13598101400
13598101400 UFU005 15 13598101514
13598101514 UFU006 15 13598101628
13598101628 YFU001 04 13598101742
13598101742 WFU007 30 13598101827
13598101827 WFU008 30 13598101913
13598101913 BHU002 10 13598102028
13598102028 BFU002 30 13598102115
13599105032 NFT001 30 13599105147
13599105147 YFU002 30 13599105334
13599105334 UFU005 15 13599105448
13599105448 UFU006 15 13599105602
13599105602 YFU001 04 13599105716
13599105716 WFU007 30 13599105801
13599105801 WFU008 30 13599105847
13599105847 BHU002 10 13599110002
13599110002 BFU002 30 13599110049
13601100418 NFT001 30 13601100533
13601100533 YFU002 30 13601100719
13601100719 UFU005 15 13601100834
13601100834 UFU006 15 13601100948
13601100948 YFU001 04 13601101101
13601101101 WFU007 30 13601101147
13601101147 WFU008 30 13601101232
13601101232 BHU002 10 13601101348
13601101348 BFU002 30 13601101434
13604160508 LCU004 15 13604160623
13604160629 LCU004 15 13604160737
13604160743 LCU004 15 13604160851
13604160851 LFU013 30 13604160942
13604160942 LFU014 30 13604161032
13604161039 LFU003 30 13604161122
13604161122 LFU004 30 13604161205
13604174628 LAU002 30 13604174749
13604174820 LAU003 30 13604174935
13604175006 YCU002 30 13604175121
13604175153 YCU003 60 13604175309
13604175340 YCU004 60 13604175459
13604175530 LCU008 30 13604175704
13604175735 LCU009 30 13604175849
13604175849 LFU009 30 13604175933
13604175933 LFU010 30 13604180018
13604180018 LFC001 30 13604180058
13604180058 LFC002 30 13604180141
13604180141 LFU011 30 13604180220
13604181605 EMU001 30 13604181644
13604181644 EMU002 30 13604181723
13604181723 EMU003 30 13604181802
13604181802 EMU004 15 13604181856
13604181856 ERU001 30 13604181934
